metricsType,cpu_percent,cpu_count,mem_percent,mem_total,net_upload,net_download,timestamp,jobId
"metricsType=""worker6",100.0,2,24.6,16741945344,1587531515,1587741150,1710848800.790981,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.6,16741908480,1494109065,1670889488,1710848804.3802018,application_1710848715047_0001
"metricsType=""worker1",100.0,2,24.8,16741896192,1870166353,1692620678,1710848804.3794782,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.6,16741928960,1859247829,1536558973,1710848804.3821251,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.7,16741945344,1845932650,1846136553,1710848804.3889658,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.1,16741928960,1765430095,2088748253,1710848804.3842332,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.4,16741949440,2200001482,2200002541,1710848804.3792915,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.1,16741928960,1982318446,2348489059,1710848808.0495598,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.4,16741949440,2469435578,2469430043,1710848808.044855,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.6,16741908480,1690906703,1898883934,1710848808.046112,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.2,16741896192,2152115389,1943358322,1710848808.0452235,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.7,16741928960,2127037978,1761482767,1710848808.0484042,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.7,16741945344,2101828544,2102024541,1710848808.0565853,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.2,16741896192,2505765315,2259050965,1710848811.6792936,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.7,16741908480,1880825164,2126745713,1710848811.6802096,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.5,16741949440,2730151931,2730140055,1710848811.67919,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.8,16741945344,2355586267,2355775480,1710848811.6886332,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.2,16741928960,2187224683,2598444824,1710848811.6840253,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.8,16741928960,2394221872,1983604063,1710848811.6826773,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.2,16741896192,2770036644,2494149073,1710848815.310578,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.8,16741928960,2667568729,2209279615,1710848815.3133855,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.8,16741945344,2612966464,2613149564,1710848815.319686,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.9,16741908480,2129591976,2413446261,1710848816.361183,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.4,16741949440,3083982481,3083964317,1710848816.359979,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.1,16741928960,2472318451,2942998249,1710848816.3648481,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.8,16741928960,2979272708,2467214820,1710848819.4296403,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.2,16741928960,2650680474,3163313610,1710848819.4310634,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.4,16741949440,3311943215,3311919135,1710848819.4264648,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.9,16741908480,2307716323,2617490325,1710848819.4277182,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.3,16741896192,3077050614,2766455733,1710848819.4270337,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.9,16741945344,2905378008,2905553138,1710848819.4357662,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.8,16741928960,3255128912,2699734020,1710848823.0150874,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.9,16741908480,2506620400,2855932447,1710848823.0132809,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.3,16741896192,3355579315,3005431515,1710848823.0126863,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.9,16741945344,3162039096,3162207810,1710848823.021396,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.4,16741949440,3578309231,3578278857,1710848823.0124059,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.2,16741928960,2860702192,3416661303,1710848823.0172598,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.3,16741896192,3622137233,3237042870,1710848826.524699,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.2,16741928960,3064747373,3667627363,1710848826.5286348,application_1710848715047_0001
"metricsType=""worker2",100.0,2,28.0,16741908480,2705360638,3089606566,1710848826.5255864,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.4,16741949440,3840352167,3840317005,1710848826.5242128,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.9,16741945344,3408514336,3408676824,1710848826.5334384,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.9,16741928960,3521707664,2919377646,1710848826.5284832,application_1710848715047_0001
"metricsType=""worker2",100.0,2,28.0,16741908480,2912630468,3331179735,1710848830.1719124,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.3,16741896192,3894090828,3474678474,1710848830.1711683,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.9,16741928960,3803654929,3155490506,1710848830.174021,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.4,16741949440,4105113224,4105071276,1710848830.1706407,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.9,16741945344,3661464575,3661618406,1710848830.1798034,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.2,16741928960,3277978779,3926682830,1710848830.1756446,application_1710848715047_0001
"metricsType=""worker2",100.0,2,28.1,16741908480,3112302658,3563313804,1710848833.6955838,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.3,16741896192,4160956876,3709068263,1710848833.6948042,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.4,16741949440,4360000570,4359954075,1710848833.6942546,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.2,16741928960,3483296567,4174398287,1710848833.6988063,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.9,16741928960,4068925816,3378350528,1710848833.6978018,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.9,16741945344,3915440458,3915590048,1710848833.7030995,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.4,16741896192,4426661157,3936231519,1710848837.252619,application_1710848715047_0001
"metricsType=""worker2",100.0,2,28.1,16741908480,3311771451,3801312331,1710848837.253536,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.4,16741949440,4622103870,4622050591,1710848837.2520416,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.9,16741928960,4336893037,3603187464,1710848837.2556367,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.9,16741945344,4167255992,4167397610,1710848837.2608922,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.3,16741928960,3691005833,4425225447,1710848837.2567458,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.4,16741896192,4784592672,4249545023,1710848841.8991222,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.5,16741949440,4966682054,4966621563,1710848841.8984048,application_1710848715047_0001
"metricsType=""worker2",100.0,2,28.2,16741908480,3579222780,4113368611,1710848841.9000003,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.3,16741928960,3962822526,4759665849,1710848841.903069,application_1710848715047_0001
"metricsType=""worker6",100.0,2,24.9,16741945344,4493720222,4493853630,1710848841.90757,application_1710848715047_0001
"metricsType=""worker5",100.0,2,24.9,16741928960,4693384279,3897039077,1710848841.902497,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.4,16741896192,5067306550,4498020762,1710848845.558961,application_1710848715047_0001
"metricsType=""worker2",100.0,2,28.3,16741908480,3790547117,4358916455,1710848845.5599263,application_1710848715047_0001
"metricsType=""worker4",100.0,2,22.5,16741949440,5240774914,5240709006,1710848845.5584939,application_1710848715047_0001
"metricsType=""worker5",100.0,2,25.0,16741928960,4975739792,4129843452,1710848845.5623102,application_1710848715047_0001
"metricsType=""worker3",100.0,2,22.3,16741928960,4186480940,5032862885,1710848845.563188,application_1710848715047_0001
"metricsType=""worker6",100.0,2,25.1,16741945344,4739433286,4739574366,1710848845.567334,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.4,16741896192,5347317089,4746983246,1710848849.2272737,application_1710848715047_0001
"metricsType=""worker4",100.0,2,16.9,16741949440,5512609470,5513206494,1710848849.2265558,application_1710848715047_0001
"metricsType=""worker6",100.0,2,25.2,16741945344,4994947989,4994652104,1710848849.2351685,application_1710848715047_0001
"metricsType=""worker2",100.0,2,28.7,16741908480,3984930862,4584106382,1710848849.2283077,application_1710848715047_0001
"metricsType=""worker5",100.0,2,25.0,16741928960,5269448515,4353683024,1710848849.2303772,application_1710848715047_0001
"metricsType=""worker3",100.0,2,19.5,16741928960,4403524500,5319754978,1710848849.2314777,application_1710848715047_0001
"metricsType=""worker2",100.0,2,29.1,16741908480,4257723294,4905049489,1710848854.0327084,application_1710848715047_0001
"metricsType=""worker3",39.3,2,11.2,16741928960,4452708279,5456422857,1710848854.0360267,application_1710848715047_0001
"metricsType=""worker5",100.0,2,25.3,16741928960,5623127964,4619860887,1710848854.0352423,application_1710848715047_0001
"metricsType=""worker6",100.0,2,25.4,16741945344,5339745161,5339440996,1710848854.0401914,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.4,16741896192,5720096285,5071459711,1710848854.0322096,application_1710848715047_0001
"metricsType=""worker4",45.7,2,9.5,16741949440,5560936900,5561664805,1710848854.0316887,application_1710848715047_0001
"metricsType=""worker2",100.0,2,29.3,16741908480,4467892747,5152721652,1710848857.7157457,application_1710848715047_0001
"metricsType=""worker5",100.0,2,25.6,16741928960,5892265087,4812573845,1710848857.7182307,application_1710848715047_0001
"metricsType=""worker1",100.0,2,22.4,16741896192,6015862164,5329707664,1710848857.7150729,application_1710848715047_0001
"metricsType=""worker6",100.0,2,25.5,16741945344,5607794375,5607484289,1710848857.723259,application_1710848715047_0001
"metricsType=""worker3",22.3,2,11.2,16741928960,4452760616,5532889028,1710848857.7192285,application_1710848715047_0001
"metricsType=""worker4",0.5,2,9.5,16741949440,5560942790,5561667109,1710848857.7147145,application_1710848715047_0001
"metricsType=""worker1",100.0,2,19.6,16741896192,6438317417,5705530138,1710848862.707337,application_1710848715047_0001
"metricsType=""worker6",100.0,2,25.7,16741945344,5964268225,5963948744,1710848862.7153122,application_1710848715047_0001
"metricsType=""worker2",100.0,2,29.6,16741908480,4761403982,5492856840,1710848862.7083037,application_1710848715047_0001
"metricsType=""worker5",100.0,2,26.1,16741928960,6224462744,5091515316,1710848862.7105207,application_1710848715047_0001
"metricsType=""worker3",13.1,2,8.4,16741928960,4452810855,5586180001,1710848862.7114618,application_1710848715047_0001
"metricsType=""worker4",0.7,2,9.5,16741949440,5560950936,5561670725,1710848862.706833,application_1710848715047_0001
"metricsType=""worker2",100.0,2,29.9,16741908480,4975462574,5741532342,1710848866.555232,application_1710848715047_0001
"metricsType=""worker1",36.0,2,8.6,16741896192,6555534394,5788615605,1710848866.5543742,application_1710848715047_0001
"metricsType=""worker5",100.0,2,26.4,16741928960,6466866046,5333816617,1710848866.5577486,application_1710848715047_0001
"metricsType=""worker6",100.0,2,26.0,16741945344,6219616620,6219146533,1710848866.5625286,application_1710848715047_0001
"metricsType=""worker3",0.3,2,8.4,16741928960,4452948173,5586182136,1710848866.558775,application_1710848715047_0001
"metricsType=""worker4",1.6,2,9.5,16741949440,5561092134,5561676054,1710848866.5542228,application_1710848715047_0001
"metricsType=""worker1",4.6,2,8.5,16741896192,6602445428,5788662847,1710848869.9741154,application_1710848715047_0001
"metricsType=""worker2",100.0,2,27.3,16741908480,5197190468,6010111877,1710848869.9750588,application_1710848715047_0001
"metricsType=""worker3",0.4,2,8.4,16741928960,4452950641,5586183285,1710848869.9783602,application_1710848715047_0001
"metricsType=""worker5",100.0,2,27.1,16741928960,6688859403,5555803302,1710848869.9777567,application_1710848715047_0001
"metricsType=""worker4",1.2,2,9.5,16741949440,5561098250,5561678488,1710848869.9740155,application_1710848715047_0001
"metricsType=""worker6",100.0,2,26.5,16741945344,6425388207,6424913393,1710848869.9830205,application_1710848715047_0001
"metricsType=""worker2",100.0,2,24.6,16741908480,5489477239,6391305925,1710848874.438717,application_1710848715047_0001
"metricsType=""worker3",0.7,2,8.4,16741928960,4453385350,5586186864,1710848874.4420083,application_1710848715047_0001
"metricsType=""worker4",0.8,2,9.5,16741949440,5561107290,5561683109,1710848874.4371,application_1710848715047_0001
"metricsType=""worker1",4.6,2,8.5,16741896192,6691225696,5788775060,1710848874.4377213,application_1710848715047_0001
"metricsType=""worker6",100.0,2,19.1,16741945344,6680823650,6680760516,1710848874.4461417,application_1710848715047_0001
"metricsType=""worker5",100.0,2,27.8,16741928960,6964345474,5831037210,1710848874.4415233,application_1710848715047_0001
"metricsType=""worker1",6.1,2,8.6,16741896192,6830662766,5788935449,1710848877.8513896,application_1710848715047_0001
"metricsType=""worker3",0.0,2,8.4,16741928960,4453387889,5586187953,1710848877.855577,application_1710848715047_0001
"metricsType=""worker5",100.0,2,28.2,16741928960,7199490437,6066033536,1710848877.8548043,application_1710848715047_0001
"metricsType=""worker2",81.2,2,16.3,16741908480,5557843782,6599077092,1710848877.8524303,application_1710848715047_0001
"metricsType=""worker4",0.9,2,9.5,16741949440,5561487834,5561690867,1710848877.8507805,application_1710848715047_0001
"metricsType=""worker6",73.0,2,12.7,16741945344,6830032554,6830344999,1710848877.8596876,application_1710848715047_0001
"metricsType=""worker2",38.2,2,13.5,16741908480,5558003429,6690290552,1710848881.2549098,application_1710848715047_0001
"metricsType=""worker1",4.8,2,8.6,16741896192,6921678393,5789031996,1710848881.2540133,application_1710848715047_0001
"metricsType=""worker5",100.0,2,26.2,16741928960,7440959987,6307495214,1710848881.257764,application_1710848715047_0001
"metricsType=""worker3",0.4,2,8.4,16741928960,4453390400,5586189001,1710848881.2583764,application_1710848715047_0001
"metricsType=""worker4",1.0,2,9.5,16741949440,5561642915,5561694754,1710848881.2533886,application_1710848715047_0001
"metricsType=""worker6",53.8,2,12.6,16741945344,7023976557,7024286489,1710848881.262496,application_1710848715047_0001
"metricsType=""worker2",3.1,2,13.5,16741908480,5558081378,6690346874,1710848884.6445477,application_1710848715047_0001
"metricsType=""worker4",0.7,2,9.5,16741949440,5561650201,5561698353,1710848884.6428914,application_1710848715047_0001
"metricsType=""worker1",0.6,2,8.6,16741896192,6921814700,5789048456,1710848884.64375,application_1710848715047_0001
"metricsType=""worker3",0.3,2,8.4,16741928960,4453392407,5586190103,1710848884.6482003,application_1710848715047_0001
"metricsType=""worker5",100.0,2,18.2,16741928960,7749643252,6616297482,1710848884.647624,application_1710848715047_0001
"metricsType=""worker6",52.9,2,12.7,16741945344,7216566975,7216875422,1710848884.6523488,application_1710848715047_0001
"metricsType=""worker5",3.1,2,9.9,16741928960,7828966044,6696667786,1710848927.1195304,application_1710848715047_0002
"metricsType=""worker2",1.3,2,9.8,16741908480,5559648438,6691219419,1710848927.116623,application_1710848715047_0002
"metricsType=""worker4",0.7,2,8.6,16741949440,5562375317,5562197630,1710848927.114563,application_1710848715047_0002
"metricsType=""worker3",0.4,2,8.4,16741928960,4453637424,5586418580,1710848927.1208467,application_1710848715047_0002
"metricsType=""worker1",6.3,2,10.8,16741896192,6922344607,5789558940,1710848927.1153634,application_1710848715047_0002
"metricsType=""worker6",2.2,2,9.9,16741945344,7291634413,7291935079,1710848927.1252277,application_1710848715047_0002
"metricsType=""worker1",30.4,2,11.6,16741896192,6922425467,5789609566,1710848930.390817,application_1710848715047_0002
"metricsType=""worker2",49.4,2,11.2,16741908480,5559672516,6691449832,1710848930.392329,application_1710848715047_0002
"metricsType=""worker4",19.5,2,9.1,16741949440,5562390854,5562415169,1710848930.3904126,application_1710848715047_0002
"metricsType=""worker3",47.5,2,9.7,16741928960,4454245837,5586636891,1710848930.396963,application_1710848715047_0002
"metricsType=""worker6",48.2,2,11.2,16741945344,7291653021,7292157707,1710848930.4011316,application_1710848715047_0002
"metricsType=""worker5",19.9,2,10.5,16741928960,7829371908,6696879219,1710848930.3956926,application_1710848715047_0002
"metricsType=""worker3",100.0,2,13.4,16741928960,4490457455,5622865481,1710848933.7090652,application_1710848715047_0002
"metricsType=""worker6",100.0,2,14.9,16741945344,7340901067,7341422789,1710848933.713245,application_1710848715047_0002
"metricsType=""worker5",97.6,2,14.0,16741928960,7856852014,6724373722,1710848933.707691,application_1710848715047_0002
"metricsType=""worker2",99.8,2,15.4,16741908480,5598794992,6730587058,1710848933.7047603,application_1710848715047_0002
"metricsType=""worker1",99.2,2,15.1,16741896192,6947705704,5814840705,1710848933.7034101,application_1710848715047_0002
"metricsType=""worker4",97.3,2,13.0,16741949440,5585742921,5585781425,1710848933.7027268,application_1710848715047_0002
"metricsType=""worker1",100.0,2,18.2,16741896192,6989375097,5856512655,1710848937.0475242,application_1710848715047_0002
"metricsType=""worker3",100.0,2,17.0,16741928960,4551998031,5684408499,1710848937.0535698,application_1710848715047_0002
"metricsType=""worker5",100.0,2,17.6,16741928960,7913576346,6781104104,1710848937.0520618,application_1710848715047_0002
"metricsType=""worker4",100.0,2,16.9,16741949440,5651081260,5651142685,1710848937.046928,application_1710848715047_0002
"metricsType=""worker2",100.0,2,18.3,16741908480,5667708496,6799503434,1710848937.0491254,application_1710848715047_0002
"metricsType=""worker6",100.0,2,18.1,16741945344,7399095906,7399626572,1710848937.0580385,application_1710848715047_0002
"metricsType=""worker1",100.0,2,20.1,16741896192,7038789269,5905916290,1710848940.3711982,application_1710848715047_0002
"metricsType=""worker3",100.0,2,20.8,16741928960,4668035725,5800472689,1710848940.3773613,application_1710848715047_0002
"metricsType=""worker5",100.0,2,21.7,16741928960,8054535198,6922096131,1710848940.3760684,application_1710848715047_0002
"metricsType=""worker2",100.0,2,20.9,16741908480,5780053818,6911869967,1710848940.372947,application_1710848715047_0002
"metricsType=""worker6",100.0,2,21.7,16741945344,7513927861,7514489809,1710848940.3819642,application_1710848715047_0002
"metricsType=""worker4",100.0,2,20.0,16741949440,5791352534,5791424606,1710848940.3713849,application_1710848715047_0002
"metricsType=""worker2",100.0,2,24.7,16741908480,5985846796,7133911100,1710848943.7777565,application_1710848715047_0002
"metricsType=""worker1",100.0,2,21.7,16741896192,7114611780,5981742652,1710848943.776289,application_1710848715047_0002
"metricsType=""worker5",100.0,2,23.3,16741928960,8380527604,7231850000,1710848943.7809193,application_1710848715047_0002
"metricsType=""worker3",100.0,2,22.2,16741928960,4833435253,5965869623,1710848943.7826693,application_1710848715047_0002
"metricsType=""worker6",100.0,2,23.9,16741945344,7682976855,7683536656,1710848943.7872283,application_1710848715047_0002
