node_name,memory_usage,cpu_usage,cpu_cores,total_memory,jobId,timestamp
worker14,25.0,0.9926346234035432,2,8.0,application_1726669773678_0040,2024-09-20T16:17:30
worker15,0.0,0.7329547277934445,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker16,0.0,0.8252292691723784,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker17,0.0,0.9279457362393773,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker18,0.0,0.8500981510350614,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker19,25.0,1.512300365615682,2,8.0,application_1726669773678_0040,2024-09-20T16:17:30
worker20,0.0,0.895099813893252,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker21,0.0,0.7835339424389631,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker22,0.0,0.8409844790890797,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker23,25.0,1.506168817913811,2,8.0,application_1726669773678_0040,2024-09-20T16:17:30
worker24,0.0,0.9348033594605121,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker25,0.0,0.7974578397875964,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker26,25.0,0.9366560463828444,2,8.0,application_1726669773678_0040,2024-09-20T16:17:30
worker27,0.0,0.806263602862789,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker28,25.0,1.4698913623717336,2,8.0,application_1726669773678_0040,2024-09-20T16:17:30
worker29,0.0,0.8479011134289172,4,1.0,application_1726669773678_0040,2024-09-20T16:17:30
worker1,0.0,0.5423397619360171,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker2,0.0,0.5730890764170105,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker3,0.0,0.5789256086867645,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker4,0.0,0.5662243100905795,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker5,0.0,0.505957853907002,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker6,0.0,0.5567701578811701,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker7,0.0,0.5512620953418534,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker8,25.0,1.0483814388285606,2,8.0,application_1726669773678_0040,2024-09-20T16:17:32
worker9,0.0,0.5409118583442396,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker10,0.0,0.559266189064378,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker11,0.0,0.5331226607501072,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker12,0.0,0.5192164025597079,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker13,0.0,0.8974567569043801,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker14,25.0,0.9933068857168048,2,8.0,application_1726669773678_0040,2024-09-20T16:17:32
worker15,0.0,0.7331129794752367,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker16,0.0,0.8253969573180475,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker17,0.0,0.9281000930228878,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker18,0.0,0.8501006333321071,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
worker19,25.0,1.5125941219635508,2,8.0,application_1726669773678_0040,2024-09-20T16:17:32
worker20,0.0,0.8952700226400379,4,1.0,application_1726669773678_0040,2024-09-20T16:17:32
