appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:56
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1726669773678_0043,2024-09-20T16:23:58
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1726669773678_0043,2024-09-20T16:24:00
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1726669773678_0043,2024-09-20T16:24:02
0,1,210944,26624,237568,207,25,232,29,29,0,0,10.8,11.2,application_1726669773678_0043,2024-09-20T16:24:04
0,1,214016,23552,237568,210,22,232,29,29,0,0,9.5,9.9,application_1726669773678_0043,2024-09-20T16:24:06
0,1,218112,19456,237568,214,18,232,29,29,0,0,7.8,8.2,application_1726669773678_0043,2024-09-20T16:24:08
0,1,221184,16384,237568,217,15,232,29,29,0,0,6.5,6.9,application_1726669773678_0043,2024-09-20T16:24:10
0,1,221184,16384,237568,217,15,232,29,29,0,0,6.5,6.9,application_1726669773678_0043,2024-09-20T16:24:12
0,1,221184,16384,237568,217,15,232,29,29,0,0,6.5,6.9,application_1726669773678_0043,2024-09-20T16:24:14
0,1,220160,17408,237568,216,16,232,29,29,0,0,6.9,7.3,application_1726669773678_0043,2024-09-20T16:24:16
0,1,220160,17408,237568,216,16,232,29,29,0,0,6.9,7.3,application_1726669773678_0043,2024-09-20T16:24:18
0,1,220160,17408,237568,216,16,232,29,29,0,0,6.9,7.3,application_1726669773678_0043,2024-09-20T16:24:20
0,1,221184,16384,237568,217,15,232,29,29,0,0,6.5,6.9,application_1726669773678_0043,2024-09-20T16:24:22
0,1,221184,16384,237568,217,15,232,29,29,0,0,6.5,6.9,application_1726669773678_0043,2024-09-20T16:24:24
0,1,221184,16384,237568,217,15,232,29,29,0,0,6.5,6.9,application_1726669773678_0043,2024-09-20T16:24:26
0,1,222208,15360,237568,218,14,232,29,29,0,0,6.0,6.5,application_1726669773678_0043,2024-09-20T16:24:28
0,1,223232,14336,237568,219,13,232,29,29,0,0,5.6,6.0,application_1726669773678_0043,2024-09-20T16:24:30
0,1,223232,14336,237568,219,13,232,29,29,0,0,5.6,6.0,application_1726669773678_0043,2024-09-20T16:24:32
0,1,224256,13312,237568,220,12,232,29,29,0,0,5.2,5.6,application_1726669773678_0043,2024-09-20T16:24:34
0,1,224256,13312,237568,220,12,232,29,29,0,0,5.2,5.6,application_1726669773678_0043,2024-09-20T16:24:36
0,1,225280,12288,237568,221,11,232,29,29,0,0,4.7,5.2,application_1726669773678_0043,2024-09-20T16:24:38
0,1,226304,11264,237568,222,10,232,29,29,0,0,4.3,4.7,application_1726669773678_0043,2024-09-20T16:24:40
