appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
0,1,212992,24576,237568,209,23,232,29,29,0,0,9.9,10.3,application_1727684395822_0126,2024-10-02T00:49:03
0,1,228352,9216,237568,224,8,232,29,29,0,0,3.4,3.9,application_1727684395822_0126,2024-10-02T00:49:05
0,1,234496,3072,237568,230,2,232,29,29,0,0,0.9,1.3,application_1727684395822_0126,2024-10-02T00:49:07
0,1,235520,2048,237568,231,1,232,29,29,0,0,0.4,0.9,application_1727684395822_0127,2024-10-02T00:50:22
0,1,212992,24576,237568,209,23,232,29,29,0,0,9.9,10.3,application_1727684395822_0127,2024-10-02T00:50:24
0,1,194560,43008,237568,191,41,232,29,29,0,0,17.7,18.1,application_1727684395822_0127,2024-10-02T00:50:26
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0127,2024-10-02T00:50:28
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0127,2024-10-02T00:50:30
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0127,2024-10-02T00:50:32
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0127,2024-10-02T00:50:34
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0127,2024-10-02T00:50:36
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0127,2024-10-02T00:50:38
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0127,2024-10-02T00:50:40
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0127,2024-10-02T00:50:42
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0127,2024-10-02T00:50:44
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0127,2024-10-02T00:50:46
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0127,2024-10-02T00:50:48
0,1,210944,26624,237568,207,25,232,29,29,0,0,10.8,11.2,application_1727684395822_0127,2024-10-02T00:50:50
0,1,216064,21504,237568,212,20,232,29,29,0,0,8.6,9.1,application_1727684395822_0127,2024-10-02T00:50:52
0,1,219136,18432,237568,215,17,232,29,29,0,0,7.3,7.8,application_1727684395822_0127,2024-10-02T00:50:54
0,1,223232,14336,237568,219,13,232,29,29,0,0,5.6,6.0,application_1727684395822_0127,2024-10-02T00:50:56
0,1,227328,10240,237568,223,9,232,29,29,0,0,3.9,4.3,application_1727684395822_0127,2024-10-02T00:50:58
0,1,232448,5120,237568,228,4,232,29,29,0,0,1.7,2.2,application_1727684395822_0127,2024-10-02T00:51:00
0,1,234496,3072,237568,230,2,232,29,29,0,0,0.9,1.3,application_1727684395822_0127,2024-10-02T00:51:02
0,1,230400,7168,237568,226,6,232,29,29,0,0,2.6,3.0,application_1727684395822_0128,2024-10-02T00:52:17
0,1,203776,33792,237568,200,32,232,29,29,0,0,13.8,14.2,application_1727684395822_0128,2024-10-02T00:52:19
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0128,2024-10-02T00:52:21
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0128,2024-10-02T00:52:23
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0128,2024-10-02T00:52:25
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0128,2024-10-02T00:52:27
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0128,2024-10-02T00:52:29
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0128,2024-10-02T00:52:31
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0128,2024-10-02T00:52:33
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0128,2024-10-02T00:52:35
0,1,206848,30720,237568,203,29,232,29,29,0,0,12.5,12.9,application_1727684395822_0128,2024-10-02T00:52:37
0,1,207872,29696,237568,204,28,232,29,29,0,0,12.1,12.5,application_1727684395822_0128,2024-10-02T00:52:39
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0128,2024-10-02T00:52:41
0,1,208896,28672,237568,205,27,232,29,29,0,0,11.6,12.1,application_1727684395822_0128,2024-10-02T00:52:43
