metricsType,appsPending,appsRunning,availableMB,allocatedMB,totalMB,availableVirtualCores,allocatedVirtualCores,totalVirtualCores,totalNodes,activeNodes,unhealthyNodes,shutdownNodes,cpuUsage,memoryUsage,jobId,timestamp
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849219.1827397
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849222.809372
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849226.4973342
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849230.1251173
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849233.68357
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849237.1741574
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849240.687233
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0004,1710849244.2390718
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0004,1710849247.7145076
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0004,1710849251.1916265
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0004,1710849254.6564639
metricsType=cluster,0,1,14336,34816,49152,15,33,48,6,6,0,0,68.8,70.8,application_1710848715047_0004,1710849258.1345618
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0004,1710849261.6137712
metricsType=cluster,0,1,15360,33792,49152,16,32,48,6,6,0,0,66.7,68.8,application_1710848715047_0004,1710849265.0914118
metricsType=cluster,0,1,21504,27648,49152,22,26,48,6,6,0,0,54.2,56.2,application_1710848715047_0004,1710849268.5959961
metricsType=cluster,0,1,25600,23552,49152,26,22,48,6,6,0,0,45.8,47.9,application_1710848715047_0004,1710849272.053293
metricsType=cluster,0,1,28672,20480,49152,29,19,48,6,6,0,0,39.6,41.7,application_1710848715047_0004,1710849275.5117834
metricsType=cluster,0,1,41984,7168,49152,42,6,48,6,6,0,0,12.5,14.6,application_1710848715047_0004,1710849278.9733744
metricsType=cluster,0,1,36864,12288,49152,37,11,48,6,6,0,0,22.9,25.0,application_1710848715047_0005,1710849324.4878023
metricsType=cluster,0,1,18432,30720,49152,19,29,48,6,6,0,0,60.4,62.5,application_1710848715047_0005,1710849327.8676267
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0005,1710849331.2486165
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0005,1710849334.5478108
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0005,1710849337.932847
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0005,1710849341.387463
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0005,1710849344.8750894
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0005,1710849348.4306302
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0005,1710849352.1550071
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0005,1710849355.82221
metricsType=cluster,0,1,12288,36864,49152,13,35,48,6,6,0,0,72.9,75.0,application_1710848715047_0005,1710849359.4433835
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0005,1710849363.0761824
metricsType=cluster,0,1,13312,35840,49152,14,34,48,6,6,0,0,70.8,72.9,application_1710848715047_0005,1710849366.7194345
