metricsType,cpu_percent,cpu_count,mem_percent,mem_total,net_upload,net_download,timestamp,jobId
"metricsType=""worker1",52.6,2,16.5,16741896192,360609181238,327197344739,1710855584.325505,application_1710848715047_0052
"metricsType=""worker5",99.5,2,21.9,16741928960,359402840971,326095784937,1710855584.3288808,application_1710848715047_0052
"metricsType=""worker4",99.7,2,19.9,16741949440,333893414149,330102418532,1710855584.3267412,application_1710848715047_0052
"metricsType=""worker6",51.7,2,17.7,16741945344,291716191458,302475153944,1710855584.3362403,application_1710848715047_0052
"metricsType=""worker2",99.4,2,19.7,16741908480,273433200972,296523305944,1710855584.3278809,application_1710848715047_0052
"metricsType=""worker4",99.4,2,19.9,16741949440,334047417452,330256418739,1710855587.4930818,application_1710848715047_0052
"metricsType=""worker3",99.7,2,20.8,16741928960,261109925355,297818238419,1710855587.4971986,application_1710848715047_0052
"metricsType=""worker1",51.5,2,16.5,16741896192,360686449064,327274610333,1710855587.4921412,application_1710848715047_0052
"metricsType=""worker5",99.7,2,21.9,16741928960,359544559962,326237501964,1710855587.4953575,application_1710848715047_0052
"metricsType=""worker6",52.6,2,17.7,16741945344,291799441285,302558401361,1710855587.502792,application_1710848715047_0052
"metricsType=""worker2",99.7,2,19.7,16741908480,273634646301,296656393638,1710855587.4994137,application_1710848715047_0052
"metricsType=""worker3",100.0,2,20.8,16741928960,261185978574,297962138143,1710855590.6786816,application_1710848715047_0052
"metricsType=""worker2",99.7,2,19.7,16741908480,273841940000,296795837030,1710855590.6762364,application_1710848715047_0052
"metricsType=""worker4",99.5,2,19.9,16741949440,334207761429,330416760848,1710855590.6751497,application_1710848715047_0052
"metricsType=""worker1",52.0,2,16.5,16741896192,360764874440,327353033169,1710855590.6745586,application_1710848715047_0052
"metricsType=""worker6",52.4,2,17.7,16741945344,291881667907,302640626494,1710855590.684914,application_1710848715047_0052
"metricsType=""worker5",99.5,2,21.9,16741928960,359691145996,326384081704,1710855590.678717,application_1710848715047_0052
"metricsType=""worker2",99.5,2,19.7,16741908480,274047098428,296933217208,1710855593.8467858,application_1710848715047_0052
